Product URL,Product Name,Product Price,Rating,Number of reviews,Manufacturer,ASIN,processed_text
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-1,"Skybags Casual Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Strap",₹446,4.1 out of 5 stars,"13,311",VIP Industries Ltd,B08Z1HHHTD,skybags casual backpack 28l 2 main compartment bottle pocket front pocket padded shoulder strap
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_2?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-2,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹699,4.4 out of 5 stars,"15,425","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B09VTDMRY7,fur jaden anti theft number lock backpack bag 15 6 inch laptop compartment usb charging port organizer pocket men woman boy girl
https://www.amazon.in/Wesley-Raincover-Internal-Organiser-Backpack/dp/B0D37BRN7X/ref=sr_1_3?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-3,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Backpack,₹549,4.1 out of 5 stars,"2,799","Wesley, Longani Trading Company",B0D37BRN7X,wesley spartan unisex travel hiking laptop bag fit upto 17 3 inch raincover internal organiser backpack rucksack college backpack
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_4?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-4,Gear Aspire 30L Medium Water Restant Office Laptop Backpack /Backpack for Men/Women (Black),₹898,4.3 out of 5 stars,"8,587","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B075MK4TXP,gear aspire 30l medium water restant office laptop backpack backpack men woman black
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=sr_1_5?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-5,"Safari Casual backpack 3 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men",₹729,4.0 out of 5 stars,"3,041","Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B097JJ2CK6,safari casual backpack 3 compartment front pocket bottle holder school bag boy girl college bag woman men
https://www.amazon.in/MEDLER-Aquiver-litres-Waterproof-Strolley/dp/B09V8BDX1N/ref=sr_1_6?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-6,M MEDLER Aquiver Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag (Beige),₹428,3.4 out of 5 stars,422,"BREGGABOG INDIA PRIVATE LIMITED, breggabog@gmail.com",B09V8BDX1N,medler aquiver nylon 55 litre waterproof strolley duffle bag 2 wheel luggage bag beige
https://www.amazon.in/Craftwood-Backpack-Waterproof-Aesthetic-Backpacks/dp/B0D58K1N5M/ref=sr_1_7?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-7,"Craftwood School Backpack for Teen Girls, Boys Waterproof High School Backpack for Student Bookbag College Backpack for Women Men Casual Daypack Travel Aesthetic Backpacks Black",₹699,3.0 out of 5 stars,37,"Debonair International,GC-112A,Factory Lane,New Delhi-110044, 011-41652625",B0D58K1N5M,craftwood school backpack teen girl boy waterproof high school backpack student bookbag college backpack woman men casual daypack travel aesthetic backpack black
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_8?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-8,"Safari Casual backpack 3 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men",₹699,4.0 out of 5 stars,"3,041","Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B097JH4V5G,safari casual backpack 3 compartment front pocket bottle holder school bag boy girl college bag woman men
https://www.amazon.in/Impulse-EmpowerElite-Resistant-Backpack-Grey/dp/B0CSYYSWJR/ref=sr_1_9?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-9,Impulse EmpowerElite 25L Unisex Water Resistant Travel Laptop Backpack with USB Charging Port/Office Bag/School Bag/College Bag/Business Bag Fits Up to 16 Inch Laptop with 1 Year Warranty (Blue),₹545,3.9 out of 5 stars,274,"Impulse Travel Gears Private Limited, Impulse Travel Gears Private Limited - Whatsapp - +91 9899670867",B0CSYYSWJR,impulse empowerelite 25l unisex water resistant travel laptop backpack usb charging port office bag school bag college bag business bag fit 16 inch laptop 1 year warranty blue
https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q/ref=sr_1_10?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO4EprR1ofj5Z97vQjZseKmPfrMKZqaeL5SJLRiWHdXjq8wAmh16TqMVgAN3I0vHLky516GAXycnrG6X5Fliubfac_fS8ZN7kILF7G8Zt0XTS7g6A_QKNwNi18RBsn90L2axPlrqswkWgnjzOKZ8ZwDIPq9BmYXidLvZKG0bZGEkW-4BHQdAq8C5nSk9iXqdYYJOZBXlSXDJVpKY_P2JfVoI.bHF5q_9iQZ8RLHKocB5lilZ14C39nDytAjtKhzCxWDI&dib_tag=se&keywords=bags&qid=1727240788&sprefix=ba%2Caps%2C283&sr=8-10,Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,₹199,4.2 out of 5 stars,"33,523","Alka Lifestyles Pvt Ltd, Alka Lifestyles Pvt Ltd,202 Everest Chamber,2nd flr,Marol Naka,Andheri east,Mumbai-400059; Tel: +91-22 4520 3000",B06VX8YR6Q,ezee black garbage bag dustbin 90 pc medium 19 x 21 inch 30 pc x pack 3
